"dim","iso","year","quarter","techq","eu","median1st","median2nd","pres","GOV_POS","govmin","govmax","VP_RANGE","VP_RANGE_EU","minoritygov"
"LR",36,1972,49,49,,-1.8446,-1.8446,,4.2567,-1.8446,4.2567,6.1013,6.1013,0
"LR",36,1972,50,50,,-1.5604,-1.5604,,4.4837,-1.5604,4.4837,6.0441,6.0441,0
"LR",36,1972,51,51,,-1.2761,-1.2761,,4.7107,-1.2761,4.7107,5.9868,5.9868,0
"LR",36,1973,52,52,,-9.738,2.9308,,-9.738,-9.738,-9.738,12.6688,12.6688,0
"LR",36,1973,53,53,,-11.1738,7.1377,,-11.1738,-11.1738,-11.1738,18.3115,18.3115,0
"LR",36,1973,54,54,,-12.6096,8.8051,,-12.6096,-12.6096,-12.6096,21.4147,21.4147,0
"LR",36,1973,55,55,,-14.0454,10.1699,,-14.0454,-14.0454,-14.0454,24.2154,24.2154,0
"LR",36,1974,56,56,,-15.4812,10.3915,,-15.4812,-15.4812,-15.4812,25.8727,25.8727,0
"LR",36,1974,57,57,,-16.917,9.9721,,-16.917,-16.917,-16.917,26.8891,26.8891,0
"LR",36,1974,58,58,,-14.4776,-0.4347,,-14.4776,-14.4776,-14.4776,14.0428,14.0428,0
"LR",36,1974,59,59,,-12.0381,1.1393,,-12.0381,-12.0381,-12.0381,13.1774,13.1774,0
"LR",36,1975,60,60,,-9.5986,2.7132,,-9.5986,-9.5986,-9.5986,12.3119,12.3119,0
"LR",36,1975,61,61,,-7.1592,4.2872,,-7.1592,-7.1592,-7.1592,11.4464,11.4464,0
"LR",36,1975,62,62,,-4.7197,5.8612,,-4.7197,-4.7197,-4.7197,10.5809,10.5809,0
"LR",36,1975,63,63,,-2.2803,6.7011,,-2.2803,-2.2803,-2.2803,8.9813,8.9813,0
"LR",36,1976,64,64,,14.877,14.877,,14.877,14.877,14.9514,0.0743,0.0743,0
"LR",36,1976,65,65,,12.6034,12.6034,,12.6034,12.6034,14.2203,1.6169,1.6169,0
"LR",36,1976,66,66,,10.3297,10.3297,,10.3297,10.3297,13.4892,3.1595,3.1595,0
"LR",36,1976,67,67,,8.0561,8.0561,,8.0561,8.0561,12.7581,4.7021,4.7021,0
"LR",36,1977,68,68,,5.7824,5.7824,,5.7824,5.7824,12.0271,6.2446,6.2446,0
"LR",36,1977,69,69,,3.5088,3.5088,,3.5088,3.5088,11.296,7.7872,7.7872,0
"LR",36,1977,70,70,,1.2351,1.2351,,1.2351,1.2351,10.5649,9.3298,9.3298,0
"LR",36,1977,71,71,,-1.0385,-1.0385,,-1.0385,-1.0385,9.8338,10.8724,10.8724,0
"LR",36,1978,72,72,,-0.2734,-0.2734,,-0.2734,-0.2734,9.3815,9.6549,9.6549,0
"LR",36,1978,73,73,,0.4917,0.4917,,0.4917,0.4917,8.9292,8.4375,8.4375,0
"LR",36,1978,74,74,,1.2569,1.2569,,1.2569,1.2569,8.4769,7.22,7.22,0
"LR",36,1978,75,75,,2.022,2.022,,2.022,2.022,8.0246,6.0026,6.0026,0
"LR",36,1979,76,76,,2.7871,2.7871,,3.8443,2.7871,7.5723,4.7852,4.7852,0
"LR",36,1979,77,77,,3.5523,3.5523,,4.3405,3.5523,7.12,3.5677,3.5677,0
"LR",36,1979,78,78,,4.3174,4.3174,,4.8366,4.3174,6.6677,2.3503,2.3503,0
"LR",36,1979,79,79,,5.0825,5.0825,,5.3328,5.0825,6.2154,1.1328,1.1328,0
"LR",36,1980,80,80,,5.8477,5.763,,5.829,5.763,5.8477,0.0846,0.0846,0
"LR",36,1980,81,81,,6.6128,5.3107,,6.3251,5.3107,6.6128,1.3021,1.3021,0
"LR",36,1980,82,82,,7.3779,4.8584,,6.8213,4.8584,7.3779,2.5195,2.5195,0
"LR",36,1980,83,83,,4.4061,4.4061,,8.143,4.4061,8.143,3.7369,3.7369,0
"LR",36,1981,84,84,,6.2986,6.2986,,8.1898,6.2986,8.1898,1.8912,1.8912,0
"LR",36,1981,85,85,,8.1911,8.1911,,8.2366,8.1911,8.2366,0.0454,0.0454,0
"LR",36,1981,86,86,,8.2833,8.2833,,8.2833,8.2833,10.0837,1.8003,1.8003,0
"LR",36,1981,87,87,,8.3301,8.3301,,8.3301,8.3301,11.9762,3.6461,3.6461,0
"LR",36,1982,88,88,,8.3768,8.3768,,8.3768,8.3768,13.8687,5.4919,5.4919,0
"LR",36,1982,89,89,,8.4236,8.4236,,8.4236,8.4236,15.7612,7.3376,7.3376,0
"LR",36,1982,90,90,,8.4703,8.4703,,8.4703,8.4703,17.6537,9.1834,9.1834,0
"LR",36,1982,91,91,,8.5171,8.5171,,8.5171,8.5171,19.5463,11.0292,11.0292,0
"LR",36,1983,92,92,,8.5639,8.5639,,8.5639,8.5639,21.4388,12.8749,12.8749,0
"LR",36,1983,93,93,,-8.4871,-8.4871,,-3.2694,-8.4871,8.5889,17.0759,17.0759,0
